a52dec 0.7.4-6
acl 2.2.51-2
acpi 1.6-1
alsa-lib 1.0.26-1
alsa-utils 1.0.26-1
amsmath 2-2
archlinux-keyring 20120915-1
archlinux-themes-slim 1.2-3
at-spi2-atk 2.6.2-1
at-spi2-core 2.6.2-1
atk 2.6.0-1
attr 2.4.46-2
autoconf 2.69-1
automake 1.12.4-1
avahi 0.6.31-4
awesome 3.4.13-1
babl 0.1.10-1
bash 4.2.039-1
batti 0.3.8-3
binutils 2.23-1
bison 2.6.4-1
bzip2 1.0.6-4
bzr 2.5.1-2
ca-certificates 20121105-1
cairo 1.12.8-2
cifs-utils 5.7-1
cloog 0.17.0-2
cmake 2.8.10.1-1
colord 0.1.24-2
compositeproto 0.4.2-2
coreutils 8.20-1
cracklib 2.8.19-1
cronie 1.4.8-3
cryptsetup 1.5.1-1
curl 7.28.0-1
damageproto 1.2.1-2
db 5.3.21-1
dbus 1.6.8-1
dbus-core 1.6.8-1
dbus-glib 0.100-1
dconf 0.14.1-1
desktop-file-utils 0.20-1
device-mapper 2.02.98-1
dhcpcd 5.6.2-1
dialog 1.1_20120706-1
diffutils 3.2-1
dirmngr 1.1.0-4
django 1.4.2-1
dmxproto 2.3.1-2
dnssec-anchors 20120422-1
dropbox 1.4.21-1
e2fsprogs 1.42.6-1
elementary-icons 2.7.1-2
enca 1.13-2
exo 0.8.0-1
expat 2.1.0-1
faad2 2.7-3
fakeroot 1.18.4-1
feh 2.7-1
ffmpeg 1:1.0-1
file 5.11-1
filesystem 2012.10-2
findutils 4.4.2-4
firefox 16.0.2-1
fixesproto 5.0-2
flac 1.2.1-3
flashplugin 11.2.202.251-1
flex 2.5.37-1
fontconfig 2.10.1-2
fontsproto 2.1.2-1
freeglut 2.8.0-2
freetype2 2.4.10-1
fribidi 0.19.4-1
fundamental-theme 20100102-1
fuse 2.9.1-1
gawk 4.0.1-1
gcc 4.7.2-2
gcc-libs 4.7.2-2
gconf 3.2.5-3
gd 2.0.36RC1-5
gdbm 1.10-1
gdk-pixbuf2 2.26.5-1
gegl 0.2.0-5
gettext 0.18.1.1-4
ghostscript 9.06-1
giblib 1.2.4-5
giflib 4.1.6-5
gimp 2.8.2-1
git 1.8.0-1
glib-networking 2.34.2-1
glib2 2.34.1-1
glibc 2.16.0-5
glu 9.0.0-1
gmp 5.0.5-1
gnupg 2.0.19-2
gnutls 3.1.3-2
google-chrome-dev 25.0.1323.1-1
gpgme 1.3.1-4
gpm 1.20.7-1
gptfdisk 0.8.5-1
grep 2.14-1
groff 1.21-2
gsettings-desktop-schemas 3.6.1-1
gsfonts 1.0.7pre44-3
gshot 0.8.3-3
gsm 1.0.13-7
gstreamer0.10 0.10.36-1
gstreamer0.10-base 0.10.36-1
gtk-engine-murrine 0.98.2-1
gtk-engines 2.21.0-1
gtk-murrine-arch-theme 0.4-2
gtk-theme-absolute 0.7.7-1
gtk-theme-flow 2.0-3
gtk-theme-switch2 2.1.0-2
gtk-update-icon-cache 2.24.13-1
gtk2 2.24.13-1
gtk3 3.6.2-1
gvfs 1.14.2-1
gvfs-smb 1.14.2-1
gzip 1.5-1
harfbuzz 0.9.5-1
heirloom-mailx 12.5-3
hicolor-icon-theme 0.12-2
hunspell 1.3.2-2
hwids 20121022-1
iana-etc 2.30-3
icon-naming-utils 0.8.90-2
icu 49.1.2-2
imagemagick 6.8.0.3-1
imlib2 1.4.5-2
inetutils 1.9.1-4
inputproto 2.2-1
intel-dri 9.0-1
intltool 0.50.2-1
iproute2 3.6.0-2
iptables 1.4.16.2-1
iputils 20121011-2
ipython2 0.13.1-1
isl 0.10-1
jansson 2.4-1
jasper 1.900.1-8
jdk 7.9-2
jfsutils 1.1.15-3
js 1.8.5-3
jshon 20120914-1
json-c 0.9-1
kbd 1.15.3-3
kbproto 1.0.6-1
keyutils 1.5.5-3
khrplatform-devel 9.0-1
kmod 10-2
krb5 1.10.3-1
lame 3.99.5-1
lcms 1.19-2
lcms2 2.4-1
ldns 1.6.14-1
less 451-1
lib32-alsa-lib 1.0.26-1
lib32-bzip2 1.0.6-1
lib32-dbus-core 1.6.8-1
lib32-expat 2.1.0-1
lib32-fontconfig 2.10.1-1
lib32-freetype2 2.4.10-1
lib32-gcc-libs 4.7.2-2
lib32-glib2 2.34.1-2
lib32-glibc 2.16.0-5
lib32-libdrm 2.4.40-1
lib32-libffi 3.0.11-1
lib32-libgl 9.0-1
lib32-libglapi 9.0-1
lib32-libice 1.0.8-1
lib32-libjpeg-turbo 1.2.1-1
lib32-libmng 1.0.10-6
lib32-libpciaccess 0.13.1-1
lib32-libpng 1.5.13-1
lib32-libsm 1.2.1-1
lib32-libtiff 4.0.3-1
lib32-libx11 1.5.0-1
